BEZEICHNUNG_OFFIZIELL;geopos
La Plaine-Frontière;46.1774699611,5.99058007065
Zimeysa;46.221239603,6.06598529651
Châtelaine (bif);46.2171399788,6.10257999807
Furet (bif);46.2087699868,6.11549993836
Tunnel du Saut-de-Mouton;46.2073036331,6.11975359846
Lancy-Pont-Rouge;46.1859426973,6.12494756365
Genève-La-Praille EZ10;46.1777980603,6.12550682552
Les Pralies;46.4511799736,6.12686999153
Genève, Nations (boucle);46.2216497718,6.13958724843
Genève, rue Servette (bif);46.2087415558,6.14134695184
Genève, Montbrillant (bif);46.2093983827,6.14213473694
Genève;46.2102199724,6.14244003549
Genève faisceau B;46.2157900208,6.14426001431
Chambésy;46.2409448637,6.14730428549
Tunnel Voirie de Carouge;46.1819948891,6.15163416486
St-Cergue Les Cheseaux;46.4468800289,6.14727996743
Genève-Champel;46.1922099701,6.15349001441
Tunnel de Champel;46.1870891359,6.15418209674
Creux-de-Genthod;46.2637800078,6.16129999785
St-Cergue;46.4486100451,6.16035996091
Versoix;46.2797299955,6.16573003339
Chêne-Bourg, Place Favre (bif);46.1947211861,6.19374886254
Thônex, Moillesulaz (boucle);46.1925267394,6.20610608658
Genolier;46.4362499814,6.21456996668
Chez-le-Maître-Ecoles;46.5993499774,6.22196005003
Les Plantaz;46.3911600397,6.22903006504
Le Rocheray;46.6245100187,6.25030003466
12 EP ARCC Gland;46.4160028267,6.26199641743
12 Garage Régie Gland;46.4160028267,6.26199641743
Gland sous-station;46.4144912344,6.26337644345
Gland;46.4199899776,6.26913002727
Rolle;46.4627500159,6.33639994658
Le Day sous-station;46.7205464615,6.3984877815
Les Grands Bois;46.7194690482,6.42871219039
Pampigny-Sévery;46.576979999,6.43216999862
Tunnel de Combes;46.7262733943,6.45269548651
Colombier sous-station;46.5508003776,6.46086538438
Les Verrières-Frontière;46.899159997,6.45898994889
Tolochenaz;46.4968400095,6.47499996568
Bretonnières Nord;46.723867372,6.47110634736
17 EP La Côte-aux-Fée;46.8626667899,6.4833332516
12 Garage GS Acl-Brem-Rom;46.5565724348,6.49384132307
Lonay-Préverenges;46.5231299953,6.51954003624
Arnex;46.6980799611,6.51890002394
Aclens, ZI Moulin du Choc;46.5627613722,6.52184548567
Vufflens-la-Ville coté BY (B);46.5683630733,6.52903250033
Essence Agip Penthalaz;46.6046893711,6.52860792095
Vufflens-la-Ville coté COS (B);46.5762360117,6.53077773052
Lausanne-Triage Sud;46.5249799646,6.53399005647
Trois-Villes;46.8002800191,6.53196997266
Denges B (bif);46.5307699896,6.54435004325
Essence EP Agrola Orbe;46.7195359425,6.54133143092
12 Garage Régie Echandens;46.5339511003,6.54780062111
12 EP Faucherre Orbe;46.7226700373,6.54521669591
12 Garage GS Bussigny;46.5509031179,6.54935986152
Tunnel d'Eclépens (Mormont);46.6587907042,6.55188450141
Vuiteboeuf;46.8038400337,6.55361000866
Bavois;46.6876800167,6.55932998754
Archy A (bif);46.5434999773,6.56377001214
Renens VD Ouest (bif);46.5407900375,6.57208005656
Essert-sous-Champvent;46.7953499713,6.57982995953
Boveresse;46.9190200413,6.59541997703
Essence EP Nunes Cheseaux-sur;46.5825314446,6.60117246656
Prilly-Malley;46.5267000116,6.60261999497
Malley (B);46.5249999816,6.60782004006
Lausanne-Sébeillon;46.5242800046,6.61102998761
12 Garage GS Le Mont;46.5715910753,6.62076534257
12 EP Nunes Cheseaux;46.6418382385,6.62282235815
Ouchy;46.5074053036,6.62658804249
Lausanne (Centre d'expl);46.517064312,6.63123853389
Echallens;46.639510023,6.63253997535
Couvet;46.9227738427,6.63491027987
Grésaley;46.643170034,6.64215003125
Yverdon-les-Bains;46.7818799793,6.6411500321
Sc Fontanezier, Bas du Villag;46.8530903255,6.65251553182
Onnens-Bonvillars PMP;46.8311372998,6.684652022
Villette VD;46.4953400123,6.70728003723
Essence Jubin Les Brenêts;47.0708093539,6.70658683084
Grandvaux;46.496950011,6.72263994991
Concise;46.8508800309,6.72317006948
Tunnel de la Raisse;46.8596461273,6.74146973146
12 Garage GS Plateau Jorat;46.7049206011,6.75425719129
12 Garage Régie Thierrens;46.7054251662,6.75738920866
Vaumarcus;46.8776399903,6.75758995362
Essence Shel Saint-Aubin-Saug;46.8917003307,6.7714006117
Puidoux Pont;46.5005049287,6.77747050729
En Grillon;46.4743200199,6.7787200275
La Sagne;47.0398867371,6.80208104606
17 EP Favre Rochefort;46.9795064881,6.80965972087
Bevaix;46.9296900187,6.81169001822
Chambrelien;46.9671099519,6.81225998694
La Chaux-de-Fonds-Ouest;47.0986508768,6.8255966377
La Chaux-de-Fonds [voie 2];47.0985704182,6.82568976939
Vevey-Funi;46.4682799802,6.83542997399
La Corbatière;47.0695517541,6.83491922801
Croix-de-Culet (Planachaux);46.1750404983,6.84525462578
12 Garage Régie Corcelles;46.7118394672,6.83987479168
Bôle;46.968960045,6.83769004838
Palézieux Pont;46.5610385355,6.84244698454
Vevey [voie 6-7];46.4629123387,6.84428358359
Boudry, Tuilière;46.9514647694,6.84283015036
Montmollin-Montezillon;46.9913799747,6.8428499454
Le Reymond;47.0870779386,6.84407245791
Tunnel de Vauderens N;46.6388158724,6.86864833634
Champéry-Village;46.1814799632,6.87483994659
Auvernier Est (bif);46.9776342537,6.86671261892
Siviriez saut kilométrique;46.6435299769,6.87241993661
13 EP TPC Torgon;46.3211335515,6.87643413506
Les Evouettes, école;46.3626439281,6.87717199225
Les Evouettes;46.3628600137,6.87945996208
La Cour;46.1942400337,6.88668004701
Barrage du Vieux-Emosson;46.0625545673,6.89828635464
La Large-Journée;47.1612599976,6.89670995595
Belmont-sur-Montreux;46.4420399891,6.90612002081
Commerce de fer (racc);46.6861699755,6.9059900014
Neuchâtel-Serrières;46.9839600209,6.90337001493
Essence Chevalley Chernex;46.4476998003,6.90880357705
Tunnel du Gibet;46.9881040843,6.90373689519
Chaulin-Cornaux;46.4568938435,6.90952405539
Chernex;46.445920005,6.91007998027
Chamby-Musée;46.4538216994,6.91240458301
Romont Gare Est;46.6971058459,6.91491687637
Route de Morgins;46.2318000392,6.92025999931
Sonzier;46.4390500383,6.92121003595
Les Neys;46.2360199643,6.92477997271
Rennaz Step;46.3687227217,6.92447228913
Collonge TMF;46.4259133574,6.92539892388
12 Garage Régie Sédeilles;46.7478338359,6.93315031257
12 EP TPB Sédeilles;46.7478354975,6.93315985036
Lussy FR;46.7092699982,6.93851000737
Neuchâtel Bus/TGV;46.9965183537,6.93628502216
Les Montuires;46.0669402483,6.94633149202
Corbes (Ventil);46.0673962877,6.94776189618
13 ECP TPC SA Monthey;46.2587101419,6.9460315608
Collombey-Muraz;46.2701700075,6.94602001767
Essence BP Monthey;46.2597182316,6.94768741887
Trient Wassererfassung;46.0618096637,6.95809841992
Le Châtelard VS usine;46.0612070874,6.95812958058
Trient usine;46.0583285731,6.96026117838
13 EP TPC Corbeyrier;46.349188415,6.9595839123
Essence Jubin Fahy;47.4181359639,6.95029673042
Aigle [voie 11-16];46.3163426093,6.96409941723
Losinger (embr);46.2431800377,6.98248002715
Le Triège Wassererfassung;46.1051318012,6.99052584853
Essence Glaivaz Ollon;46.2981512265,6.99168854737
Bex;46.251459968,7.00067003037
Les Marécottes(Ausgleichbecken;46.1097814082,7.00631835165
Delle Nord;47.5264699864,6.99849999302
Leysin-Feydey;46.3444400024,7.00836003208
13 EP Evasion Voyages;46.2059436978,7.00991147641
13 EP TPC Lavey;46.2153006166,7.01031746392
Les Breuleux-Eglise;47.2131100217,7.00241007081
Essence EP Wermeille Saignelé;47.2610589701,7.00471864228
Salvan;46.1216123953,7.02104949376
Delle-Frontière;47.50277998,7.01291004663
Villeret;47.1602000048,7.01969002503
12 EP Geinoz Estavayer-Gx;46.7164240769,7.02729784215
Evionnaz Nord;46.1853939833,7.03146448645
Zihlbrücke;47.0092700319,7.03058004835
Buix;47.4793299824,7.02997997197
13 EP Commune de Dorenaz;46.1480831567,7.04185608309
Avenches;46.8845999598,7.04091996971
Martigny-Croix, école;46.0847374301,7.05545089056
Fontannaz-Seulaz;46.2676000447,7.05584998376
Cormoret;47.1729400148,7.05412995087
Bulle-Granges (bif);46.6118486262,7.05831906543
Le Pied-d'Or;47.2220399934,7.05628998257
Courchavon;47.4397700396,7.05765004374
La Tour-de-Trême;46.608530027,7.06423995407
La Clairière;46.2883400453,7.06799995774
Col-de-Soud;46.304940037,7.06953996157
Bouquetins;46.3163999935,7.07234005158
Martigny;46.1058300017,7.07911003987
Faoug;46.9082300418,7.07460001618
Avry, Co Sarine Ouest;46.7862197782,7.07752491094
Avry-Matran;46.7860301702,7.08043454497
17 Garage Porrentruy;47.4309811819,7.08056592833
Les Marches;46.6029699719,7.09127000709
13 EP TMR Chemin;46.0896240004,7.09505698817
Matran PP;46.7893018945,7.09723057022
Cortébert;47.1893299545,7.10730994837
Les Aviolats;46.3529700368,7.1131600179
Villars-sur-Glâne;46.7898300109,7.1163899447
Les Nicolets;46.3544600371,7.11954006446
Münchenwiler-Courgevaux;46.9108999638,7.11623004723
Givisiez;46.8166305792,7.12885873902
Essence EP Jubin Courgenay;47.4086024708,7.12963329413
Les Daillettes;46.7888787606,7.13521358597
Château-d'Oex La Palaz;46.4762600121,7.14169005098
Pra-Perron (2ème sect.);46.4615840812,7.14240248458
La Faverge;46.354929994,7.14712000292
Alle centre agricult d'Ajoie;47.4292180674,7.14239248839
Tunnel de la Croix;47.3739974362,7.14397173327
Fribourg TPF;46.8031506796,7.15104954232
Sonceboz-Sombeval Ouest;47.1931800185,7.15335005308
Combe-Tabeillon;47.3138000345,7.15846001796
Siselen-Finsterhennen;47.0311500394,7.18039005829
Hagneck;47.0582799555,7.18806995171
Düdingen;46.8510400079,7.18975006856
Kerzers Unterwerk;46.9750109397,7.19143098695
C-Container 13-2014;46.9746785198,7.19161651159
Tunnel de Pierre-Pertuis Nord;47.2141793295,7.19635282296
Glacier-des-Diabl. (Sex Rouge);46.3263995623,7.20478247148
Tavannes [voie étroite];47.2201543452,7.20187060202
Glovelier [voie 12-13];47.3355399138,7.20799789322
Le Châble (Mayens de Bruson);46.0784460678,7.21445830422
Glovelier Ouest;47.3365299666,7.20932001623
Cabane-des-Diabl. (Oldenegg);46.3399945407,7.21489355706
Lattrigen;47.096740021,7.2142199416
Savoleyres (La Tzoumaz);46.1226952603,7.21902329309
17 EP TSPG Sornetan;47.2746507007,7.21661840458
Rizenbach, Vogelbuch;46.9467875734,7.22430730022
La Heutte;47.1894799875,7.22540003749
Ipsach;47.1173699728,7.23548004673
Tunnel de Pasquart;47.1380308706,7.23901350344
17 EP Tobler Souboz;47.274831551,7.2417149728
Péry, gare;47.1897880887,7.2473053911
Bassecourt;47.3366800113,7.24684993661
Les Ruinettes (La Chaux);46.0912375294,7.25381339912
Schmitten;46.8629299692,7.25391996501
Pontenet;47.2388399971,7.25416
Biel/Bienne Unterwerk;47.1302821957,7.2581933119
Biel/Bienne IW;47.1411899603,7.26092999422
La Chaux VS (Ruinettes);46.0806361471,7.26790068254
Les Attelas (Mont-Gelé);46.0991501131,7.2686570537
Ardon;46.208579994,7.27092994572
Tankstelle PU Autoverkehr, Aa;47.0416191685,7.27425879317
Aarberg Zuckerfabrik;47.0426102492,7.27747787789
Brügg BE;47.1236299612,7.27822004343
Plan de Fou (Isérables);46.1397094223,7.29303930441
13 Parcage Sanetsch Régie;46.3595942948,7.29522046487
17 EP Odiet Pleigne;47.4087623816,7.29298315722
13 EP Lathion Haute-Nendaz;46.1843988196,7.29889511245
Scolaire Château.Conthey;46.2217809025,7.30356713492
Châteauneuf-Conthey;46.2161000333,7.30509996656
Siviez (Plan du Fou aval);46.135274999,7.3158894775
Siviez (Combartseline aval);46.1351862305,7.31697659647
Essence Jubin Communance;47.3534697165,7.33937958513
Schwarzenburg Gleisende;46.8186599927,7.3410699996
Oeschseite Chaltebr. (Chübeli);46.5237945861,7.34249986213
Scolaire Diolly;46.238250794,7.34707296762
Oeschseite;46.5313699895,7.35228996985
